ASN,Organization-Name,Rank,ROV-Percentage
3356,"Level 3 Parent, LLC",1,1
1299,Telia Company AB,2,1
174,Cogent Communications,3,0.82
3257,GTT Communications Inc.,4,1
2914,"NTT America, Inc.",6,1
6939,Hurricane Electric LLC,7,1
6461,Zayo Bandwidth,8,0
6453,TATA COMMUNICATIONS (AMERICA) INC,9,1
3491,"PCCW Global, Inc.",10,1
1273,Vodafone Group PLC,11,0
9002,RETN Limited,12,0.88
4637,Telstra International Limited,13,0.94
5511,Orange S.A.,14,1
12956,TELEFONICA GLOBAL SOLUTIONS SL,15,1
12389,PJSC Rostelecom,16,0
7473,Singapore Telecommunications (SINGTEL Internet Exchange),17,0
701,"MCI Communications Services, Inc. d/b/a Verizon Business",18,0
20485,Joint Stock Company TransTeleCom,19,0
52320,"GlobeNet Cabos Submarinos Colombia, S.A.S.",20,0
7018,"AT&T Services, Inc.",21,1
3320,Deutsche Telekom AG,22,0
16735,ALGAR TELECOM S/A,23,0
3216,"PJSC ""Vimpelcom""",24,0
31133,PJSC MegaFon,25,0
3549,"Level 3 Parent, LLC",26,1
9498,Bharti Airtel Limited,27,0
20764,CJSC RASCOM,28,0
262589,INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A,29,0
6830,Liberty Global B.V.,31,1
1239,Sprint,32,0.91
37468,Angola Cables,33,0
15412,Reliance Globalcom Limited,34,0
10429,TELEFÔNICA BRASIL S.A,35,0
209,"CenturyLink Communications, LLC",36,1
4755,Tata Communications Limited,37,0
4826,Vocus Communications,38,0.94
8359,MTS PJSC,39,0.18
7738,Telemar Norte Leste S.A.,40,0
4230,CLARO S.A.,42,0
13786,"Seabras 1 USA, LLC",43,0
8220,COLT Technology Services Group Limited,45,1
28917,"Fiord Networks, UAB",46,0
4766,Korea Telecom,47,0
9304,HGC Global Communications Limited,48,0
29076,Filanco LLC,49,0
4809,China Telecom,52,0
26615,TIM S/A,54,0
7195,EDGEUNO SAS,55,0
46887,"Lightower Fiber Networks I, LLC",56,0.15
7843,Charter Communications Inc,57,1
